# Unimported audio in TeachingPreaching. Set decision to: import | skip | later
# decision	series	date	min	kbps	MB	flags	notes_paired	path
	Evangelism series 2016		23	64	11	no-date	1	theGospel.mp3
	Evangelism series 2016		0	0	59	no-date	1	theGospel.mp4
	Fruit of the Spirit SS	2014-09-21	35	128	34	-	2	Fruit - Teaching\2014-09-21 SS Fruit - Intro.mp3
	Fruit of the Spirit SS	2014-09-28	39	320	94	320kbps	6	Fruit - Teaching\2014-09-28 SS Fruit.mp3
	Fruit of the Spirit SS	2014-10-05	39	320	93	320kbps	6	Fruit - Teaching\2014-10-05 SS Fruit.mp3
	Fruit of the Spirit SS	2014-10-19	45	320	107	320kbps	7	Fruit - Teaching\2014-10-19 SS Fruit.mp3
	Fruit of the Spirit SS	2014-11-02	36	128	34	-	2	Fruit - Teaching\done-20141102-Sunday School.mp3
	Fruit of the Spirit SS	2014-11-09	39	320	94	320kbps	3	Fruit - Teaching\2014-11-09_SS_Fruit_Love.mp3
	Fruit of the Spirit SS	2014-11-09	38	128	37	-	3	Fruit - Teaching\done-20141109-Sunday School.mp3
	Fruit of the Spirit SS	2014-11-16	39	128	37	-	1	Fruit - Teaching\done-20141116-Sunday School.mp3
	Fruit of the Spirit SS	2014-11-30	37	320	89	320kbps	5	Fruit - Teaching\2014-11-30 SS Fruit - Joy.mp3
	Fruit of the Spirit SS	2015-01-11	39	320	93	320kbps	1	Fruit - Teaching\2015-01-11 SS Kindness.MP3
	Jonah 2016	2016-05-22	54	320	130	320kbps	2	2016-05-22 Don't be a Jonah - Jonah 4.MP3
	Jonah 2016	2016-05-22	45	320	108	320kbps	2	2016-05-22 Submission, Simplified - Jonah 3.MP3
	Other / standalone	2016-05-01	60	320	144	320kbps	1	2016-05-01_Where_is_Boasting.mp3
	Other / standalone	2016-11-13	34	320	81	320kbps	1	2016-11-13 SS.MP3
	Other / standalone	2017-02-08	55	320	131	320kbps	1	2017-02-08 The Invitation.MP3
	Other / standalone	2020-03-19	64	96	46	-	1	LBCF92-94_20200319.mp3
	Other / standalone	2020-06-07	30	320	72	320kbps	1	Genesis5020_20200607_Sermon.MP3
	Abortion series 2016	2016-08-07	37	320	90	320kbps	0	2016-08-07 Abortion IVF.mp3
	Abortion series 2016	2016-08-14	39	320	95	320kbps	0	2016-08-14 Abortion Language.MP3
	Abortion series 2016	2016-08-28	39	320	95	320kbps	0	2016-08-28 Abortion Final.MP3
	Cruciform interviews	2019-01-31	32	320	76	320kbps	0	indycruciform\Cruciform2019-01-31-Kofi-interview.MP3
	Cruciform interviews	2019-03-20	21	320	50	320kbps	0	indycruciform\Cruciform2019-03-20-Josh Hamon-interview.MP3
	Cruciform interviews	2019-04-29	30	320	71	320kbps	0	indycruciform\Cruciform2019-04-29-Michelle Lesley-interview.MP3
	Cruciform interviews	2019-05-29	30	320	72	320kbps	0	indycruciform\Cruciform2019-05-29-Dustin Benge-interview.MP3
	Cruciform interviews	2019-07-25	25	320	61	320kbps	0	indycruciform\Cruciform2019-07-25-Brad Weber-interview.MP3
	Cruciform interviews	2019-08-22	22	320	53	320kbps	0	indycruciform\Cruciform2019-08-22-Joe Heatwall-interview.MP3
	Cruciform interviews		10	320	23	320kbps,no-date	0	indycruciform\Cruciform2019-02-9-MicahHasty-interview.MP3
	Cruciform interviews		8	320	20	320kbps,no-date	0	indycruciform\Cruciform2019-06-9-Bryan Lamb-interview.MP3
	Cruciform interviews		1	320	2	SHORT-1m,320kbps,no-date	0	indycruciform\philippians21-4.MP3
	Cruciform interviews		1	320	2	SHORT-1m,320kbps,no-date	0	indycruciform\philippians25-8.MP3
	EDIFY		41	256	79	256kbps,no-date	0	EDIFY\6617931594.MP3
	EDIFY		30	256	57	256kbps,no-date	0	EDIFY\6617933596.MP3
	EDIFY		27	256	51	256kbps,no-date	0	EDIFY\6617935338.MP3
	Egypt/AWANA	2014-11-12	28	320	67	320kbps	0	Egypt - AWANA\20141112 Ex 78-13.MP3
	Egypt/AWANA	2014-11-19	25	320	61	320kbps	0	Egypt - AWANA\20141119-AWANA_EGYPT.MP3
	Egypt/AWANA	2014-12-03	25	320	59	320kbps	0	Egypt - AWANA\20141203 (Egypt Escape-Michael).MP3
	Evangelism series 2016	2016-09-11	34	320	82	320kbps	0	2016-09-11 Evangelism 01.MP3
	Evangelism series 2016	2016-09-18	29	320	71	320kbps	0	2016-09-18 EvangelismHowAreTheyToBelieve.MP3
	Evangelism series 2016	2016-09-25	38	320	91	320kbps	0	2016-09-25 EvangelismGospel-1.MP3
	Evangelism series 2016	2016-10-02	37	256	71	256kbps	0	2016-10-02 EvangelismGospel-2.MP3
	Evangelism series 2016	2016-10-23	38	256	74	256kbps	0	2016-10-23 EvangelismGospel.MP3
	Fruit of the Spirit SS	2014-12-07	19	320	45	320kbps	0	Fruit - Teaching\done2014-12-07 (Fruit) Joy Part 2.MP3
